"subjectid" "activity" "meanvalue"
11 "walking" -0.379016958409591
11 "walkingupstairs" -0.370962843516591
11 "walkingdownstairs" -0.220718087092131
11 "sitting" -0.730213416461106
11 "standing" -0.747503181881309
11 "laying" -0.739250481303299
12 "walking" -0.256034499452433
12 "walkingupstairs" -0.354006222470134
12 "walkingdownstairs" -0.179277771565335
12 "sitting" -0.727919507003818
12 "standing" -0.719351505561252
12 "laying" -0.72760644728624
13 "walking" -0.210988794167055
13 "walkingupstairs" -0.330641118753785
13 "walkingdownstairs" -0.170802030677804
13 "sitting" -0.735239423441511
13 "standing" -0.742391626905495
13 "laying" -0.731168410513377
14 "walking" -0.288349500486322
14 "walkingupstairs" -0.111119139268373
14 "walkingdownstairs" 0.00341910027488552
14 "sitting" -0.730278809106672
14 "standing" -0.733750919831609
14 "laying" -0.706780359580511
15 "walking" -0.306114313281622
15 "walkingupstairs" -0.294341669544798
15 "walkingdownstairs" -0.114055542511411
15 "sitting" -0.733838697315558
15 "standing" -0.733951795404
15 "laying" -0.732694054370465
16 "walking" -0.383138718688577
16 "walkingupstairs" -0.382992324573922
16 "walkingdownstairs" -0.21577265313244
16 "sitting" -0.734763414612203
16 "standing" -0.744597444550344
16 "laying" -0.743287358888657
17 "walking" -0.309280113929322
17 "walkingupstairs" -0.302507349895375
17 "walkingdownstairs" -0.233445826587078
17 "sitting" -0.747004627057666
17 "standing" -0.753476669240357
17 "laying" -0.731324690617382
18 "walking" -0.394478845416299
18 "walkingupstairs" -0.42646923228292
18 "walkingdownstairs" -0.377526737575512
18 "sitting" -0.743850843467203
18 "standing" -0.744424330919073
18 "laying" -0.746133039821382
19 "walking" -0.0739875703910806
19 "walkingupstairs" -0.196891295749223
19 "walkingdownstairs" 0.154941520892261
19 "sitting" -0.728175891288928
19 "standing" -0.73554803643265
19 "laying" -0.742143249540819
20 "walking" -0.0954032717082775
20 "walkingupstairs" -0.205762872215166
20 "walkingdownstairs" -0.0458055951405788
20 "sitting" -0.726102407642704
20 "standing" -0.703585407231564
20 "laying" -0.737847526254904
21 "walking" -0.239612750488894
21 "walkingupstairs" -0.298692900152311
21 "walkingdownstairs" -0.139645365609202
21 "sitting" -0.743125990670937
21 "standing" -0.740332493442983
21 "laying" -0.729316795500066
22 "walking" -0.161843378710114
22 "walkingupstairs" -0.191712185339628
22 "walkingdownstairs" -0.147381918801591
22 "sitting" -0.720164924412542
22 "standing" -0.726785296080127
22 "laying" -0.718920180798411
23 "walking" -0.0969339947223061
23 "walkingupstairs" -0.25943590535943
23 "walkingdownstairs" -0.00547247287462682
23 "sitting" -0.726113491116866
23 "standing" -0.735074230891955
23 "laying" -0.738453366680006
24 "walking" -0.356957437224817
24 "walkingupstairs" -0.362618588027219
24 "walkingdownstairs" -0.241425533951455
24 "sitting" -0.737144249115584
24 "standing" -0.734420049761198
24 "laying" -0.738162801094621
25 "walking" -0.42015627084922
25 "walkingupstairs" -0.435418743421543
25 "walkingdownstairs" -0.345951992614543
25 "sitting" -0.737614646951336
25 "standing" -0.739256665905592
25 "laying" -0.6550466559966
26 "walking" -0.318740418835688
26 "walkingupstairs" -0.330337988544182
26 "walkingdownstairs" -0.175493103647397
26 "sitting" -0.732209186814351
26 "standing" -0.740410224586124
26 "laying" -0.744683873718817
27 "walking" -0.315300610673124
27 "walkingupstairs" -0.368009684288904
27 "walkingdownstairs" -0.180615867943192
27 "sitting" -0.738607565821911
27 "standing" -0.743828559458429
27 "laying" -0.747039773104429
28 "walking" -0.313871992811888
28 "walkingupstairs" -0.323401541369843
28 "walkingdownstairs" -0.139396563077246
28 "sitting" -0.731041115599865
28 "standing" -0.712417065277087
28 "laying" -0.749711337306598
29 "walking" -0.256846692509308
29 "walkingupstairs" -0.231956730511577
29 "walkingdownstairs" -0.178812689061223
29 "sitting" -0.739022156685121
29 "standing" -0.746979641390065
29 "laying" -0.747047283845479
30 "walking" -0.267020565167016
30 "walkingupstairs" -0.33891298828135
30 "walkingdownstairs" -0.217523391374438
30 "sitting" -0.732058477455571
30 "standing" -0.714291901922109
30 "laying" -0.73371945664569
